value,n,pct
stream,28869175,44.635586866125045
water,17344552,26.81698584909416
ditch,4630804,7.159839316572065
pond,3127280,4.835191102436961
swimming_pool,2817394,4.356066102446624
river,2482410,3.8381362540612085
drain,1879693,2.906255553999974
canal,1019864,1.5768454818550846
reservoir,730319,1.1291703751313151
lake,578729,0.8947920594005782
basin,338553,0.5234479973981673
spring,275575,0.42607562739955024
wastewater,120532,0.18635851409497448
bay,89097,0.137755820282746
waterfall,85628,0.13239228457940194
cape,55697,0.08611497494066134
ocean,53315,0.08243208591057614
oxbow,52493,0.081161164507247
tidal_channel,28794,0.04451935631077801
salt_pond,19803,0.030618073661955163
lagoon,12593,0.019470454053678803
water_storage,11452,0.017706316193339924
fishpond,10515,0.01625758948419222
strait,8284,0.012808166551312252
shoal,7491,0.01158208300771126
hot_spring,7116,0.011002283097433365
sewage,5175,0.008001238761834973
fairway,5099,0.007883732646685319
fish_pass,3213,0.0049677256312610175
moat,2646,0.004091068166920838
geyser,1707,0.002639249191584985
reflecting_pool,1496,0.0023130151087352884
dock,799,0.0012353603421654384
sea,120,0.0001855359712889269
blowhole,72,0.00011132158277335613
