country,source_files,csv_bytes,csv_mb
us,3754,17392936804,17392.9
br,72,6457619617,6457.6
mx,66,4308623429,4308.6
au,28,2553560368,2553.6
fr,2,2498115034,2498.1
za,12,1474980943,1475.0
es,10,1041447055,1041.4
pl,32,999741771,999.7
be,12,993795933,993.8
ca,322,981269764,981.3
sa,6,848634100,848.6
jp,94,824663125,824.7
nl,2,801006237,801.0
kr,82,768860175,768.9
pt,2,633414988,633.4
fi,4,546546794,546.5
it,74,500601241,500.6
de,22,499409776,499.4
tw,42,390460063,390.5
ch,28,340889798,340.9
by,10,336484223,336.5
ru,28,279069123,279.1
dk,2,254776474,254.8
ee,2,243916436,243.9
at,10,225328353,225.3
nz,14,218793371,218.8
cz,2,208563803,208.6
cl,2,182996227,183.0
kz,6,152985729,153.0
no,2,124467786,124.5
uy,4,98025816,98.0
lt,4,90000961,90.0
si,2,59625752,59.6
kw,4,49400609,49.4
se,32,40372503,40.4
ar,4,35174122,35.2
xk,2,34252032,34.3
summary,4850,25592818,25.6
co,2,22872829,22.9
ae,4,20828254,20.8
sk,2,17548446,17.5
ua,4,15284559,15.3
lu,2,13563687,13.6
jm,2,12771700,12.8
ro,4,11856122,11.9
sg,2,11267212,11.3
is,2,8031321,8.0
qa,2,6323829,6.3
bs,2,5280346,5.3
cw,2,4954962,5.0
il,2,3376386,3.4
nc,2,2720252,2.7
tt,2,2717373,2.7
gg,2,2699742,2.7
fo,2,1842719,1.8
lv,2,1814672,1.8
bm,2,1547496,1.5
li,2,878233,0.9
gr,2,765785,0.8
vi,2,497286,0.5
cn,2,264551,0.3
vg,2,206838,0.2
