layer_name,field_name,field_type,non_null_count,pct_non_null
points,osm_id,String,224908,100.0
points,name,String,34584,15.38
points,barrier,String,9115,4.05
points,highway,String,58622,26.06
points,ref,String,4074,1.81
points,address,String,2,0.0
points,is_in,String,0,0.0
points,place,String,4761,2.12
points,man_made,String,1505,0.67
points,other_tags,String,199853,88.86
lines,osm_id,String,270987,100.0
lines,name,String,64787,23.91
lines,highway,String,228902,84.47
lines,waterway,String,4863,1.79
lines,aerialway,String,25,0.01
lines,barrier,String,14241,5.26
lines,man_made,String,7278,2.69
lines,railway,String,4403,1.62
lines,z_order,Integer,270987,100.0
lines,other_tags,String,185311,68.38
multilinestrings,osm_id,String,2457,100.0
multilinestrings,name,String,2427,98.78
multilinestrings,type,String,2457,100.0
multilinestrings,other_tags,String,2455,99.92
multipolygons,osm_id,String,3805,0.85
multipolygons,osm_way_id,String,446384,99.15
multipolygons,name,String,16662,3.7
multipolygons,type,String,3829,0.85
multipolygons,aeroway,String,60,0.01
multipolygons,amenity,String,18161,4.03
multipolygons,admin_level,String,102,0.02
multipolygons,barrier,String,540,0.12
multipolygons,boundary,String,263,0.06
multipolygons,building,String,369782,82.14
multipolygons,craft,String,13,0.0
multipolygons,geological,String,20,0.0
multipolygons,historic,String,265,0.06
multipolygons,land_area,String,0,0.0
multipolygons,landuse,String,33099,7.35
multipolygons,leisure,String,12644,2.81
multipolygons,man_made,String,772,0.17
multipolygons,military,String,20,0.0
multipolygons,natural,String,15954,3.54
multipolygons,office,String,105,0.02
multipolygons,place,String,4564,1.01
multipolygons,shop,String,604,0.13
multipolygons,sport,String,3217,0.71
multipolygons,tourism,String,308,0.07
multipolygons,other_tags,String,180551,40.11
other_relations,osm_id,String,3270,100.0
other_relations,name,String,377,11.53
other_relations,type,String,3268,99.94
other_relations,other_tags,String,1276,39.02
